ambiguity_bucket,arm,failed_tool_calls,file_hit,first_gold_event_seq,first_gold_llm_calls,first_gold_tokens,first_gold_tool_calls,function_hit,gold_candidate_rank,gold_definition_in_candidates,gold_files,index_candidate_count,instance_id,issue_identifier_count,line_hit,locator_llm_calls,max_line_iou,name_eligible,predicted_locations,recall_at_1,recall_at_3,recall_at_5,reflection_turns,run_id,termination_reason,token_usage_incomplete,tool_calls,total_tokens,trajectory_path,wall_clock_ms
2-5,n2d,0,0,37,12,57184,11,0,,False,['sphinx/ext/autodoc/__init__.py'],213,sphinx-doc__sphinx-8595,20,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-sphinx-doc__sphinx-8595-n2d-79e77616e7,budget_exhausted,False,12,57184,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/sphinx-doc__sphinx-8595/0/trajectory.jsonl,58346.115
2-5,baseline,0,0,37,12,54575,11,0,,False,['sphinx/ext/viewcode.py'],47,sphinx-doc__sphinx-8721,4,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-sphinx-doc__sphinx-8721-baseline-cf05c2fdb2,budget_exhausted,False,12,54575,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/sphinx-doc__sphinx-8721/0/trajectory.jsonl,80181.221
2-5,n2d,0,0,34,11,52240,10,0,,False,['sphinx/ext/viewcode.py'],47,sphinx-doc__sphinx-8721,4,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-sphinx-doc__sphinx-8721-n2d-365fa77f61,budget_exhausted,False,12,58796,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/sphinx-doc__sphinx-8721/0/trajectory.jsonl,56889.168
1,baseline,0,0,28,9,37377,8,0,,False,['sympy/matrices/expressions/matexpr.py'],3065,sympy__sympy-12419,44,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-sympy__sympy-12419-baseline-d76692c6c6,budget_exhausted,False,12,67106,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/sympy__sympy-12419/0/trajectory.jsonl,77130.458
1,n2d,0,0,31,10,55137,9,0,,False,['sympy/matrices/expressions/matexpr.py'],3065,sympy__sympy-12419,44,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-sympy__sympy-12419-n2d-70c2e7f464,budget_exhausted,False,12,78143,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/sympy__sympy-12419/0/trajectory.jsonl,57621.682
1,baseline,0,0,34,11,90174,10,0,,False,['sympy/matrices/sparse.py'],108,sympy__sympy-13031,17,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-sympy__sympy-13031-baseline-3f62acca46,budget_exhausted,False,12,103280,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/sympy__sympy-13031/0/trajectory.jsonl,58617.27
1,n2d,0,0,31,10,39589,9,0,5,True,['sympy/matrices/sparse.py'],108,sympy__sympy-13031,17,0,12,0.0,True,[],0,0,1,0,name_to_definition_phase1-sympy__sympy-13031-n2d-338452b462,budget_exhausted,False,12,51210,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/sympy__sympy-13031/0/trajectory.jsonl,64880.295
1,baseline,0,0,,0,,0,0,,False,['sympy/matrices/expressions/matexpr.py'],7429,sympy__sympy-17630,83,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-sympy__sympy-17630-baseline-8ce4e8063e,budget_exhausted,False,12,70944,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/sympy__sympy-17630/0/trajectory.jsonl,66974.108
1,n2d,0,0,,0,,0,0,,False,['sympy/matrices/expressions/matexpr.py'],7429,sympy__sympy-17630,83,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-sympy__sympy-17630-n2d-796b93d3da,budget_exhausted,False,12,72807,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/sympy__sympy-17630/0/trajectory.jsonl,61203.775
1,baseline,0,0,37,12,83186,11,0,,False,['sympy/solvers/diophantine.py'],2132,sympy__sympy-18189,12,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-sympy__sympy-18189-baseline-5c16994002,budget_exhausted,False,12,83186,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/sympy__sympy-18189/0/trajectory.jsonl,69849.655
1,n2d,0,0,37,12,91252,11,0,,False,['sympy/solvers/diophantine.py'],2132,sympy__sympy-18189,12,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-sympy__sympy-18189-n2d-f25fc0fd8b,budget_exhausted,False,12,91252,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/sympy__sympy-18189/0/trajectory.jsonl,76419.85
1,baseline,0,0,37,12,72760,11,0,,False,['sympy/ntheory/residue_ntheory.py'],31,sympy__sympy-18199,2,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-sympy__sympy-18199-baseline-fc408c4f85,budget_exhausted,False,12,72760,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/sympy__sympy-18199/0/trajectory.jsonl,54978.252
1,n2d,0,0,,0,,0,0,,False,['sympy/ntheory/residue_ntheory.py'],31,sympy__sympy-18199,2,0,0,0.0,True,[],0,0,0,0,name_to_definition_phase1-sympy__sympy-18199-n2d-0e76b99235,timeout,True,0,,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/sympy__sympy-18199/0/trajectory.jsonl,90386.977
1,baseline,0,0,37,12,89433,11,0,,False,['sympy/polys/monomials.py'],1677,sympy__sympy-21847,41,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-sympy__sympy-21847-baseline-51da5027e0,budget_exhausted,False,12,89433,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/sympy__sympy-21847/0/trajectory.jsonl,82574.135
1,n2d,0,1,31,10,52872,9,1,1,True,['sympy/polys/monomials.py'],1677,sympy__sympy-21847,41,1,12,0.14285714285714285,True,"[{'end_line': 130, 'file_path': 'sympy/polys/monomials.py', 'start_line': 130}, {'end_line': 142, 'file_path': 'sympy/polys/monomials.py', 'start_line': 142}]",1,1,1,1,name_to_definition_phase1-sympy__sympy-21847-n2d-f6176c84d1,completed,False,10,65991,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/sympy__sympy-21847/0/trajectory.jsonl,100737.495
1,baseline,0,0,19,6,21252,5,0,,False,['sympy/geometry/point.py'],9810,sympy__sympy-22714,66,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-sympy__sympy-22714-baseline-ca314435ca,budget_exhausted,False,12,62301,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/sympy__sympy-22714/0/trajectory.jsonl,67443.886
1,n2d,0,0,31,10,42031,9,0,,False,['sympy/geometry/point.py'],9810,sympy__sympy-22714,66,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-sympy__sympy-22714-n2d-9327a2ac82,budget_exhausted,False,12,54409,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/sympy__sympy-22714/0/trajectory.jsonl,56959.292
1,baseline,0,0,,0,,0,0,,False,['sympy/utilities/lambdify.py'],3136,sympy__sympy-23262,37,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-sympy__sympy-23262-baseline-4b91185f0b,budget_exhausted,False,12,78085,experiments/name_to_definition/runs/name_to_definition_phase1/baseline/sympy__sympy-23262/0/trajectory.jsonl,60366.29
1,n2d,0,0,16,5,16375,4,0,,False,['sympy/utilities/lambdify.py'],3136,sympy__sympy-23262,37,0,12,0.0,True,[],0,0,0,0,name_to_definition_phase1-sympy__sympy-23262-n2d-e087c5433c,budget_exhausted,False,12,88406,experiments/name_to_definition/runs/name_to_definition_phase1/n2d/sympy__sympy-23262/0/trajectory.jsonl,58737.061
